url,chemical_name,numericals
http://www.industrialchemistry.org/PDF/r4790.pdf,1-phenylethyl acetate,[50373-55-2]
http://www.industrialchemistry.org/PDF/r2365.pdf,propiophenone,[93-55-0]
http://www.industrialchemistry.org/PDF/r1453.pdf,anthraquinone-1-sulfonic acid,"[128-56-3],[204-894-5]"
http://www.industrialchemistry.org/PDF/r8904.pdf,myristyl alcohol,"[112-72-1],[204-000-3]"
http://www.industrialchemistry.org/PDF/r14118.pdf,"1,1-bis(methylthio)-2-nitroethylene",[13623-94-4]
http://www.industrialchemistry.org/PDF/r407.pdf,"1,1-dichloroethane",[75-34-3]
http://www.industrialchemistry.org/PDF/r11851.pdf,"1,1-dichloro-1-fluoroethane",[1717-00-6]
http://www.industrialchemistry.org/PDF/r3391.pdf,"1,1-dichloro-2,2-difluoroethylene",[79-35-6]
http://www.industrialchemistry.org/PDF/r15027.pdf,"1,1-dichloro-2,2,3,3,3-pentafluoropropane","[422-56-0],[207-016-9]"
http://www.industrialchemistry.org/PDF/r4270.pdf,vinylidene chloride,[75-35-4]
http://www.industrialchemistry.org/PDF/r15025.pdf,"1,1-dichlorotetrafluoroethane",[374-07-2]
http://www.industrialchemistry.org/PDF/r3966.pdf,vinylidene fluoride,[75-38-7]
http://www.industrialchemistry.org/PDF/r6616.pdf,methylglyoxal dimethyl acetal,[6342-56-9]
http://www.industrialchemistry.org/PDF/r3407.pdf,metformin,[657-24-9]
http://www.industrialchemistry.org/PDF/r595.pdf,t-butylamine,[75-64-9]
http://www.industrialchemistry.org/PDF/r992.pdf,"1,1-dimethylhydrazine",[57-14-7]
http://www.industrialchemistry.org/PDF/r2120.pdf,methoxychlor,"[72-43-5],[200-779-9]"
http://www.industrialchemistry.org/PDF/r12308.pdf,"1,1,1-trichloro-2,2,2-trifluoroethane","[354-58-5],[206-564-6]"
http://www.industrialchemistry.org/PDF/r5097.pdf,"1,1,1-trichloroethane",[71-55-6]
http://www.industrialchemistry.org/PDF/r15024.pdf,"1,1,1-trifluoroethane",[420-46-2]
http://www.industrialchemistry.org/PDF/r17678.pdf,trimethyl orthobutyrate,[43083-12-1]
http://www.industrialchemistry.org/PDF/r867.pdf,pinacolone,[75-97-8]
http://www.industrialchemistry.org/PDF/r10869.pdf,"1,1,1,2-tetrafluoroethane",[811-97-2]
http://www.industrialchemistry.org/PDF/r17625.pdf,"1,1,1,2,3,3,3-heptafluoropropane",[431-89-0]
http://www.industrialchemistry.org/PDF/r17696.pdf,"1,1,1,3,3-pentafluorobutane",[406-58-6]
http://www.industrialchemistry.org/PDF/r17515.pdf,"1,1,1,3,3-pentafluoropropane",[460-73-1]
http://www.industrialchemistry.org/PDF/r6997.pdf,hexafluoroacetone,[684-16-2]
http://www.industrialchemistry.org/PDF/r17626.pdf,"1,1,1,3,3,3-hexafluoropropane",[690-39-1]
http://www.industrialchemistry.org/PDF/r1116.pdf,"1,1,2-trichloroethane",[79-00-5]
http://www.industrialchemistry.org/PDF/r3301.pdf,"1,1,3-trichloroacetone","[921-03-9],[213-063-6]"
http://www.industrialchemistry.org/PDF/r6049.pdf,"1,1,3-triethoxybutane",[5870-82-6]
http://www.industrialchemistry.org/PDF/r12261.pdf,"1,1,3,3-tetramethoxypropane",[102-52-3]
http://www.industrialchemistry.org/PDF/r5306.pdf,t-octylamine,"[107-45-9],[203-491-1]"
http://www.industrialchemistry.org/PDF/r13901.pdf,"1,1'-azobiscyclohexylnitrile",[2094-98-6]
http://www.industrialchemistry.org/PDF/r455.pdf,azodicarbonamide,[123-77-3]
http://www.industrialchemistry.org/PDF/r13805.pdf,"1,1'-carbonyldiimidazole",[530-62-1]
http://www.industrialchemistry.org/PDF/r5589.pdf,diisopropanolamine,[110-97-4]
http://www.industrialchemistry.org/PDF/r16224.pdf,decamethylenediamine,"[646-25-3],[211-471-9]"
http://www.industrialchemistry.org/PDF/r7751.pdf,"1,12-diaminododecane","[2783-17-7],[220-489-6]"
http://www.industrialchemistry.org/PDF/r4881.pdf,"ethylene glycol dodecane-1,12-dioate",[54982-83-1]
http://www.industrialchemistry.org/PDF/r4878.pdf,"1,12-dodecanediol",[5675-51-4]
http://www.industrialchemistry.org/PDF/r4883.pdf,ethylene glycol brassylate,[105-95-3]
